CATEGORY,URLS
baby-products,https://www.jumia.com.ng/sannea-back-to-school-children-insulated-lunch-bag-96107817.html
baby-products,https://www.jumia.com.ng/kojic-kojie-san-skin-brightening-soap-original-kojic-acid-soap-for-dark-spots-258689264.html
baby-products,https://www.jumia.com.ng/extract-papaya-lightening-herbal-bathing-soap-125g-x-12-pcs-133716854.html
baby-products,https://www.jumia.com.ng/generic-30pcs-250ml-breast-milk-storage-freezer-bags-double-lock-62338441.html
baby-products,https://www.jumia.com.ng/bebem-natural-essences-diaper-size-1-11-x1-160185935.html
baby-products,https://www.jumia.com.ng/generic-baby-walker-with-music-and-head-cover-194775409.html
baby-products,https://www.jumia.com.ng/defacto-babygirl-regular-fit-collarless-dress-purple-200602675.html
baby-products,https://www.jumia.com.ng/generic-11-pieces-new-born-overall-sleep-suits-bib-flannelcap.-258711241.html
baby-products,https://www.jumia.com.ng/fashion-baby-multifunctional-maternity-bag-large-capacity-baby-care-bag-241119277.html
baby-products,https://www.jumia.com.ng/generic-remote-control-car-transforming-robot-kids-boys-toys-240636687.html
baby-products,https://www.jumia.com.ng/infantino-cuddle-up-ergonomic-detachable-hoodie-baby-carrier-5.4-18.1kg-176662966.html
baby-products,https://www.jumia.com.ng/hawaii-gold-premiumsoappapaya-and-carrot-apricotx4pcs-116828822.html
baby-products,https://www.jumia.com.ng/fashion-baby-boys-and-girls-top-and-pant-set-2pcs-kids-jogger-set-208769545.html
baby-products,https://www.jumia.com.ng/generic-baby-food-milk-bottle-warmer-sterilizer-feeding-thermostat-73445769.html
baby-products,https://www.jumia.com.ng/jimpo-ori-5-in-1-for-babies-children-and-adults-228986049.html
baby-products,https://www.jumia.com.ng/dove-rich-moisture-head-to-toe-wash-400ml-x-2pcs-198949810.html
baby-products,https://www.jumia.com.ng/nestle-pre-nan-400g-102498866.html
baby-products,https://www.jumia.com.ng/huggies-ultra-comfort-diaper-size-2-40x1-82837577.html
baby-products,https://www.jumia.com.ng/generic-10-pcs-cleaning-brush-for-straw-water-bottle-194787621.html
baby-products,https://www.jumia.com.ng/generic-potty-training-toilet-seat-one-piece-258440097.html
baby-products,https://www.jumia.com.ng/sannea-insulated-lunch-bag-black-color-213097390.html
baby-products,https://www.jumia.com.ng/generic-breast-milk-storage-bags-30pcs-132886588.html
baby-products,https://www.jumia.com.ng/generic-multifunctional-baby-diaper-bag-travel-bed-4-in-1-60956456.html
baby-products,https://www.jumia.com.ng/sannea-back-to-school-children-insulated-lunch-bag-35766481.html
baby-products,https://www.jumia.com.ng/fashion-kids-unique-short-sleeve-shirt-231853716.html
baby-products,https://www.jumia.com.ng/generic-baby-breast-milk-extractor-suction-pump-for-nursing-lactating-moms-manual-251712070.html
baby-products,https://www.jumia.com.ng/generic-relax-baby-infant-sofa-support-sitter-seat-learning-sitting-for-pillow-cushion-203689698.html
baby-products,https://www.jumia.com.ng/defacto-babygirl-regular-fit-envelope-neck-sleeveless-knitted-overall-pink-231852391.html
baby-products,https://www.jumia.com.ng/generic-baby-foldable-trend-yard-bed-cot-with-canopy-multicolor-60646419.html
baby-products,https://www.jumia.com.ng/fashion-baby-boys-autumn-winter-twist-kniting-long-sleeves-sweatsuit-navy-blue-90646720.html
baby-products,https://www.jumia.com.ng/generic-cold-water-sterilizer-with-feeding-bottles-67795738.html
baby-products,https://www.jumia.com.ng/fashion-multipurpose-foldable-baby-bed-and-diaper-bag-96587158.html
baby-products,https://www.jumia.com.ng/dove-beauty-bar-soap-4pcs-257987703.html
baby-products,https://www.jumia.com.ng/generic-fashion-mummy-maternity-baby-diaper-nappy-bags-large-capacity-travel-backpack-mom-nursing-for-baby-care-with-mosquito-net-cover-and-usb-port-for-charging-phone-134008868.html
baby-products,https://www.jumia.com.ng/fashion-baby-boys-autumn-winter-long-sleeve-hoodie-clothes-set-red-plaid-90810007.html
baby-products,https://www.jumia.com.ng/thermolineo-baby-chair-with-feeding-tray-cushion-seat-211121821.html
baby-products,https://www.jumia.com.ng/generic-gerber-babies-wash-clothes-8-piece-60493387.html
baby-products,https://www.jumia.com.ng/generic-baby-walker-with-pusher-and-music-255144834.html
baby-products,https://www.jumia.com.ng/generic-home-touch-stainless-steel-food-flask-set-5-in-1-set-117759099.html
baby-products,https://www.jumia.com.ng/fashion-kids-sports-hoodie-casual-pants-casual-suit-blue-138981824.html
automobile,https://www.jumia.com.ng/generic-retractable-vehicle-car-chassis-telescoping-inspection-mirror-with-1-pcs-5mm-led-light-mirror-diameter-55mm-max-expanding-length-940mm-11523401.html
automobile,https://www.jumia.com.ng/premium-guard-pg-4612-oil-filter-102019137.html
automobile,https://www.jumia.com.ng/fram-fps-3593a-synthetic-oil-filter-120759703.html
automobile,https://www.jumia.com.ng/champion-champ-luber-finer-p3040-oil-filter-117206257.html
automobile,https://www.jumia.com.ng/generic-pro-tec-154-ptl51394mp-oil-filter-135455637.html
automobile,https://www.jumia.com.ng/champion-luber-finer-p968-oil-filter-118663663.html
automobile,https://www.jumia.com.ng/fram-ch-8158-extra-guard-oil-filter-133995121.html
automobile,https://www.jumia.com.ng/denso-150-3048-ftf-engine-oil-filter-119752924.html
automobile,https://www.jumia.com.ng/champion-champ-ph-2808-oil-filter-117333113.html
automobile,https://www.jumia.com.ng/champion-ph-2835-oil-filter-119164650.html
automobile,https://www.jumia.com.ng/toyota-04152-yzza5-oil-filter-85562431.html
automobile,https://www.jumia.com.ng/denso-150-3037-ftf-engine-oil-filter-119751684.html
automobile,https://www.jumia.com.ng/champion-champ-ph-969-oil-filter-117192408.html
automobile,https://www.jumia.com.ng/toyota-90915-yzzn1-oil-filter-85706731.html
automobile,https://www.jumia.com.ng/wagner-fvp-r-7502-oil-filter-133999067.html
automobile,https://www.jumia.com.ng/premium-guard-pg-4651-oil-filter-102019146.html
automobile,https://www.jumia.com.ng/generic-10x-women-punk-mid-midi-above-rings-band-tip-finger-64524106.html
automobile,https://www.jumia.com.ng/generic-car-seat-cover-pu-leather-seat-for-all-five-seater-carssuv-47409862.html
automobile,https://www.jumia.com.ng/generic-3pcs-professional-2ba-thread-4.5mm-dart-stems-shafts-replacement-65239442.html
automobile,https://www.jumia.com.ng/generic-150pcs-stud-cloth-15-multi-color-65726063.html
automobile,https://www.jumia.com.ng/generic-20v-60bar-300w-cordless-high-pressure-car-washer-pressure-spray-gun-204769014.html
automobile,https://www.jumia.com.ng/generic-12v-dual-head-car-fan-vehicle-truck-360-rotatable-cooler-212134065.html
automobile,https://www.jumia.com.ng/generic-portable-high-pressure-car-electric-washer-washing-machine-216715835.html
automobile,https://www.jumia.com.ng/generic-obd2-scanner-car-code-reader-car-check-engine-automotive-fault-diagnostic-tool-213690361.html
automobile,https://www.jumia.com.ng/generic-motorcycle-full-face-sunshade-cover-cap-headscarf-band-grey-218805394.html
automobile,https://www.jumia.com.ng/bsddp-motorcycle-riding-rider-anti-slip-anti-drop-116176984.html
automobile,https://www.jumia.com.ng/generic-obd2-car-diagnostic-bluetooth-scanner-car-code-reader-obdii-elm-327-read-tool-gift-disc-250427604.html
automobile,https://www.jumia.com.ng/generic-c20-car-fm-transmitter-dual-usb-auto-audio-player-255807146.html
automobile,https://www.jumia.com.ng/generic-portable-high-pressure-car-electric-washer-wash-cleaning-kit-216715879.html
automobile,https://www.jumia.com.ng/generic-universal-car-phone-holder-mount-stand-76718133.html
automobile,https://www.jumia.com.ng/generic-electric-piano-delay-pedal-yamaha-midi-instrument-universal-222480363.html
automobile,https://www.jumia.com.ng/generic-auto-car-repair-tool-kit-ratchet-socket-wrench-spanner-46pcs-230314658.html
automobile,https://www.jumia.com.ng/generic-touch-screen-bluetooth-1-din-car-stereo-in-dash-aux-in-fm-radio-car-mp3-player-214977156.html
automobile,https://www.jumia.com.ng/generic-double-burner-electric-cookerhot-plate-generic-87113038.html
automobile,https://www.jumia.com.ng/generic-26-pcs-drill-brush-attachments-car-detailing-brush-kit-229226292.html
automobile,https://www.jumia.com.ng/generic-rechargeable-tire-inflator-air-compressor-tire-pump-218003953.html
automobile,https://www.jumia.com.ng/generic-car-dvr-touch-screen-three-lens-driving-recorder-hd-1080p-215012699.html
automobile,https://www.jumia.com.ng/generic-arduino-uno-r3-component-kit-with-830-tie-points-breadboard-215034741.html
automobile,https://www.jumia.com.ng/generic-corded-car-vacuum-cleaner-wetdry-handheld-strong-suctio-253926823.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-2524-2500w-65a-inverter-charger-230vac-246227666.html
automobile,https://www.jumia.com.ng/generic-high-power-jump-starter-1000a-automobile-battery-booster-power-pack-240987030.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-4024-4000w-90a-inverter-charger-230vac-245411964.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-4048-4000w-45a-inverter-charger-230vac-245428284.html
automobile,https://www.jumia.com.ng/generic-tyre-inflator-car-air-pump-digital-display-portable-toolbox-218963620.html
automobile,https://www.jumia.com.ng/schneider-electric-schneider-conext-generator-start-ags-for-xwsw-245341778.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-xw-7.0-kw-iec-230v-inverter-48v-charger-865-7048-61-246223124.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-ac-breakers-kit-for-stacked-230vac-system-865-1019-61-247180082.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-dc-breaker-panel-865-1016-246934359.html
automobile,https://www.jumia.com.ng/915-generation-waist-support-brace-belt-dainely-belt-healthy-belt-eliminate-back-hurt-the-healthy-way-breathable-lower-back-support-259758602.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-ac-breaker-panel-230vac-version-865-1017-61-247104461.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-xw-8.5-kw-iec-230v-inverter-48v-charger-245392311.html
automobile,https://www.jumia.com.ng/generic-universal-car-seat-protector-cover-pu-leather-car-interior-255234403.html
automobile,https://www.jumia.com.ng/generic-motorbike-anti-theft-lock-5-seconds-anti-theft-send-2-keys-257197770.html
automobile,https://www.jumia.com.ng/schneider-electric-homaya-0.85kva-850va-solar-hybrid-inverter-239932737.html
automobile,https://www.jumia.com.ng/generic-2pcs-car-universal-non-slip-pedal-covers-auto-accessories-255248798.html
automobile,https://www.jumia.com.ng/uisex-outdoor-sunshade-arm-sleeves-glove-generic-mpg1676893.html
automobile,https://www.jumia.com.ng/generic-12inch-3d-mobile-phone-screen-magnifier-hd-video-amplifier-stand-bracket-202780204.html
automobile,https://www.jumia.com.ng/generic-10a-1224v-car-smart-repair-battery-charger-lcd-display-214183330.html
automobile,https://www.jumia.com.ng/fashion-skull-face-shield-mask-bandanas-skeleton-motorcycle-scarf-211222230.html
automobile,https://www.jumia.com.ng/generic-car-radio-bluetooth-1-din-in-dash-radio-sdusb-aux-input-fm-stereo-mp3-player-81219062.html
automobile,https://www.jumia.com.ng/generic-26-pcs-drill-brush-attachments-car-detailing-brush-kit-229226292.html
automobile,https://www.jumia.com.ng/generic-elm327-usb-interface-car-engine-fault-diagnostic-car-code-reader-obd2-scanner-cable-250435461.html
automobile,https://www.jumia.com.ng/generic-rechargeable-tire-inflator-air-compressor-tire-pump-218003953.html
automobile,https://www.jumia.com.ng/generic-car-battery-charger-12v-6a-automatic-smart-battery-charger-227193798.html
automobile,https://www.jumia.com.ng/12v-5a-full-automatic-car-battery-charger-intelligent-fast-power-charging-generic-mpg3222420.html
automobile,https://www.jumia.com.ng/generic-1440p-dvr-dash-camera-front-inside-dual-dashcam-3.5-inch-ips-screen-209382354.html
automobile,https://www.jumia.com.ng/generic-car-dvr-touch-screen-three-lens-driving-recorder-hd-1080p-215012699.html
automobile,https://www.jumia.com.ng/generic-obd2-car-diagnostic-bluetooth-scanner-car-code-reader-obdii-elm-327-read-tool-250424382.html
automobile,https://www.jumia.com.ng/generic-double-burner-electric-cookerhot-plate-generic-87113038.html
automobile,https://www.jumia.com.ng/generic-folding-car-trunk-organizer-storage-bag-non-woven-fabrics-219644415.html
automobile,https://www.jumia.com.ng/generic-elm327-obd2-car-scanner-engine-fault-car-code-reader-220184307.html
automobile,https://www.jumia.com.ng/generic-car-seat-gap-filler-organizer-with-cellphone-charging-cables-213938885.html
automobile,https://www.jumia.com.ng/generic-driving-recorder-1080p-full-hd-front-and-rear-dual-dash-cam-8g-32g-227049883.html
automobile,https://www.jumia.com.ng/generic-arduino-uno-r3-component-kit-with-830-tie-points-breadboard-215034741.html
automobile,https://www.jumia.com.ng/generic-corded-car-vacuum-cleaner-wetdry-handheld-strong-suctio-253926823.html
automobile,https://www.jumia.com.ng/schneider-electric-conext-sw-2524-2500w-65a-inverter-charger-230vac-246227666.html
