CATEGORY,URLS
automobile,https://www.jumia.com.ng/generic-retractable-vehicle-car-chassis-telescoping-inspection-mirror-with-1-pcs-5mm-led-light-mirror-diameter-55mm-max-expanding-length-940mm-11523401.html
automobile,https://www.jumia.com.ng/premium-guard-pg-4612-oil-filter-102019137.html
automobile,https://www.jumia.com.ng/fram-fps-3593a-synthetic-oil-filter-120759703.html
automobile,https://www.jumia.com.ng/champion-champ-luber-finer-p3040-oil-filter-117206257.html
automobile,https://www.jumia.com.ng/generic-pro-tec-154-ptl51394mp-oil-filter-135455637.html
automobile,https://www.jumia.com.ng/champion-luber-finer-p968-oil-filter-118663663.html
automobile,https://www.jumia.com.ng/fram-ch-8158-extra-guard-oil-filter-133995121.html
automobile,https://www.jumia.com.ng/denso-150-3048-ftf-engine-oil-filter-119752924.html
automobile,https://www.jumia.com.ng/champion-champ-ph-2808-oil-filter-117333113.html
automobile,https://www.jumia.com.ng/champion-ph-2835-oil-filter-119164650.html
automobile,https://www.jumia.com.ng/toyota-04152-yzza5-oil-filter-85562431.html
automobile,https://www.jumia.com.ng/denso-150-3037-ftf-engine-oil-filter-119751684.html
automobile,https://www.jumia.com.ng/champion-champ-ph-969-oil-filter-117192408.html
automobile,https://www.jumia.com.ng/toyota-90915-yzzn1-oil-filter-85706731.html
automobile,https://www.jumia.com.ng/wagner-fvp-r-7502-oil-filter-133999067.html
automobile,https://www.jumia.com.ng/premium-guard-pg-4651-oil-filter-102019146.html
automobile,https://www.jumia.com.ng/generic-10x-women-punk-mid-midi-above-rings-band-tip-finger-64524106.html
automobile,https://www.jumia.com.ng/generic-car-seat-cover-pu-leather-seat-for-all-five-seater-carssuv-47409862.html
automobile,https://www.jumia.com.ng/generic-3pcs-professional-2ba-thread-4.5mm-dart-stems-shafts-replacement-65239442.html
automobile,https://www.jumia.com.ng/generic-150pcs-stud-cloth-15-multi-color-65726063.html
automobile,https://www.jumia.com.ng/generic-20v-60bar-300w-cordless-high-pressure-car-washer-pressure-spray-gun-204769014.html
