CATEGORY,URLS
groceries,https://www.jumia.com.ng/hollandia-evap-milk-fullcream-50g-x48-257949821.html
groceries,https://www.jumia.com.ng/hollandia-yoghurt-plain-sweetened-1l-x10-258324221.html
groceries,https://www.jumia.com.ng/good-mama-diamond-850g-243526471.html
groceries,https://www.jumia.com.ng/big-bull-rice-750g-98314872.html
groceries,https://www.jumia.com.ng/jik-bleach-stain-remover-germ-killer-950ml-pack-of-2-92721416.html
groceries,https://www.jumia.com.ng/bellefull-indomie-chicken-280g-1-carton-indomie-mpg1621041.html
groceries,https://www.jumia.com.ng/generic-christmas-multi-function-100-led-lights-multi-colour-263144604.html
groceries,https://www.jumia.com.ng/harpic-toilet-cleaner-peach-and-jasmine-725ml-92718145.html
groceries,https://www.jumia.com.ng/generic-christmas-tree-led-neon-signs-for-wall-decor-art-usb-powered-261738224.html
groceries,https://www.jumia.com.ng/aerosol-peach-jasmine-air-freshener-300ml-air-wick-mpg1634955.html
groceries,https://www.jumia.com.ng/christmas-wreath-handmade-10-rattan-wreath-with-bow-small-218506375.html
groceries,https://www.jumia.com.ng/jik-bleach-perfumed-stain-remover-germ-killer-950ml-jik-92721411.html
groceries,https://www.jumia.com.ng/castania-almonds-tin-170g-x1-castania-mpg1621716.html
groceries,https://www.jumia.com.ng/nestle-maggi-cubes-chicken-flavour-4g-x-100-87162566.html
groceries,https://www.jumia.com.ng/indomitable-indomie-pack-70g-1carton-indomie-mpg1621022.html
groceries,https://www.jumia.com.ng/addmie-classic-16g-x10-257744030.html
groceries,https://www.jumia.com.ng/golden-penny-choco-spread-15g-x10-242716844.html
groceries,https://www.jumia.com.ng/harpic-toilet-cleaner-power-plus-citrus-450ml-92718156.html
groceries,https://www.jumia.com.ng/lamis-lamis-pistachio-250g-x1-84234424.html
groceries,https://www.jumia.com.ng/endys-ground-rice-2kg-x1-endys-82289006.html
groceries,https://www.jumia.com.ng/aerosol-peach-jasmine-air-freshener-300ml-air-wick-mpg1634955.html
groceries,https://www.jumia.com.ng/indomie-regular-chicken-noodles-100g-x-40-82758874.html
groceries,https://www.jumia.com.ng/hollandia-evap-milk-fullcream-50g-x48-257949821.html
groceries,https://www.jumia.com.ng/jik-bleach-stain-remover-germs-killer-1.4-liters-pack-of-2-92721406.html
groceries,https://www.jumia.com.ng/tabasco-sauce-original-60ml-x1-tabasco-82166310.html
groceries,https://www.jumia.com.ng/sprite-can-33cl-x24-81076447.html
groceries,https://www.jumia.com.ng/martell-cognac-blue-swift-75cl-vsop-martell-mpg1657588.html
groceries,https://www.jumia.com.ng/hollandia-evap-milk-fullcream-50g-x48-257949821.html
groceries,https://www.jumia.com.ng/predator-energy-drink-gold-pet-40cl-x12-81076473.html
groceries,https://www.jumia.com.ng/malta-guinness-can-330ml-x24-83821669.html
groceries,https://www.jumia.com.ng/monster-can-green-44cl-x24-81076467.html
groceries,https://www.jumia.com.ng/zagg-energy-drink-with-malt-can-33cl-x-24-205895247.html
groceries,https://www.jumia.com.ng/william-lawsons-finest-blend-whiskey-75cl-83118629.html
groceries,https://www.jumia.com.ng/glenfiddich-12-year-old-193446042.html
groceries,https://www.jumia.com.ng/monkey-shoulder-blended-malt-scotch-193446041.html
groceries,https://www.jumia.com.ng/jagermeister-herb-liqueur-35cl-193446050.html
groceries,https://www.jumia.com.ng/jik-bleach-stain-remover-germs-killer-1.4-liters-pack-of-2-92721406.html
groceries,https://www.jumia.com.ng/500ml-x-2-antiseptic-liquid-disinfectant-dettol-mpg1662271.html
groceries,https://www.jumia.com.ng/airwick-aerosol-lavender-air-freshener-300ml-92717566.html
groceries,https://www.jumia.com.ng/freshmatic-complete-automatic-spray-air-freshener-air-wick-mpg210520.html
groceries,https://www.jumia.com.ng/airwick-flubber-can-gels-lavender-meadow-70g-236849195.html
groceries,https://www.jumia.com.ng/drummer-gel-air-freshener-lavender-pack-of-6-air-wick-mpg1594387.html
groceries,https://www.jumia.com.ng/harpic-toilet-cleaner-peach-and-jasmine-725ml-pack-of-2-92718149.html
groceries,https://www.jumia.com.ng/mortein-led-complete-insecticide-device-refill-pack-of-2-92721415.html
groceries,https://www.jumia.com.ng/imperio-avanti-for-him-100ml-baron-de-bellefleur-129339438.html
groceries,https://www.jumia.com.ng/generic-whos-that-girl-12-in-1-professional-powder-palette-216690264.html
groceries,https://www.jumia.com.ng/ac-hair-clipper-hc-650pro-binatone-mpg3164386.html
groceries,https://www.jumia.com.ng/imperio-royal-oud-oud-for-greatness-100ml-baron-de-bellefleur-129339433.html
groceries,https://www.jumia.com.ng/sacha-buttercup-setting-powderfinishing-powder-for-every-skin-237729219.html
groceries,https://www.jumia.com.ng/2black-darkening-anti-dandruff-unisex-hair-cream80g-216691252.html
groceries,https://www.jumia.com.ng/nivea-perfect-radiant-luminous630-anti-dark-marks-serum-30ml-anti-dark-marks-day-cream-spf50-bundle-pack-157712020.html
groceries,https://www.jumia.com.ng/harpic-toilet-cleaner-peach-and-jasmine-725ml-pack-of-2-92718149.html
