CATEGORY,URLS
health-beauty,https://www.jumia.com.ng/dettol-antibacterial-bathing-soap-instant-cool-110g-pack-of-6-142131805.html
health-beauty,https://www.jumia.com.ng/generic-rechargeable-metal-simple-style-hair-clipper-black-gold-79020040.html
health-beauty,https://www.jumia.com.ng/kiki-new-gain-professional-rechargeable-hair-clipper-ng-777-98303177.html
health-beauty,https://www.jumia.com.ng/repair-essential-oil-beard-growth-mpg3669484.html
health-beauty,https://www.jumia.com.ng/nivea-men-deep-aftershave-lotion-100ml-117097341.html
health-beauty,https://www.jumia.com.ng/2black-darkening-anti-dandruff-unisex-hair-cream80g-216691252.html
health-beauty,https://www.jumia.com.ng/classic-make-up-matte-lipstick-4-set-nuderedisabellanicki-minaj-237729226.html
health-beauty,https://www.jumia.com.ng/generic-hair-dryer-hair-straightener-hair-curler-with-gifts-126502026.html
health-beauty,https://www.jumia.com.ng/darling-superstar-color-bg900-206162822.html
health-beauty,https://www.jumia.com.ng/ors-olive-oil-touch-up-kit-relaxer-x6-240134428.html
health-beauty,https://www.jumia.com.ng/watimagbo-pack-natural-fairness-clarifiant-lotion-400mlpack-of-3-nivea-mpg1657720.html
health-beauty,https://www.jumia.com.ng/natural-vitamin-e-oil-70000-iu-facial-serum-disaar-mpg1726479.html
health-beauty,https://www.jumia.com.ng/disaar-vitamin-c-face-serumanti-agingsunburn-dark-spots-removal-95152154.html
health-beauty,https://www.jumia.com.ng/maybelline-lifter-gloss-hydrating-lip-gloss-with-hyaluronic-acid-pearl-261807292.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-and-poreless-foundation-30-ml-357-spiced-261807020.html
health-beauty,https://www.jumia.com.ng/natural-fairness-clarifiant-for-women-400ml-pack-of-2-nivea-mpg1657699.html
health-beauty,https://www.jumia.com.ng/dettol-antibacterial-bathing-soap-instant-cool-110g-pack-of-6-142131805.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-and-poreless-foundation-30-ml-336-warm-olive-261806755.html
health-beauty,https://www.jumia.com.ng/oraimo-smart-clipper2-super-powerful-professional-cordless-hair-clipper-150-min-working-time-136346525.html
health-beauty,https://www.jumia.com.ng/nivea-rich-nourishing-body-lotion-for-women-400ml-pack-of-2-104325925.html
health-beauty,https://www.jumia.com.ng/safeguard-pure-white-bath-soap-100g-82290549.html
health-beauty,https://www.jumia.com.ng/rechargeable-hair-clipper-with-led-battery-display-silver-kiki-new-gain-mpg1667096.html
health-beauty,https://www.jumia.com.ng/kiki-new-gain-rechargeable-hair-clipper-ng-699-plus-33707412.html
health-beauty,https://www.jumia.com.ng/nivea-perfect-radiant-luminous630-anti-dark-marks-serum-30ml-anti-dark-marks-day-cream-spf50-bundle-pack-157712020.html
health-beauty,https://www.jumia.com.ng/watimagbo-pack-natural-fairness-clarifiant-lotion-400mlpack-of-3-nivea-mpg1657720.html
health-beauty,https://www.jumia.com.ng/shea-moisture-coconut-hibiscus-bar-soap-8oz-98658438.html
health-beauty,https://www.jumia.com.ng/eva-soap-romantic-150g-pack-of-4-269123793.html
health-beauty,https://www.jumia.com.ng/skin-doctor-advance-sunblock-face-and-body-cream-spf-60-150g-117205334.html
health-beauty,https://www.jumia.com.ng/perfect-radiant-day-cream-and-face-cleansing-foam-er-body-lotion-100ml-nivea-mpg1657697.html
health-beauty,https://www.jumia.com.ng/oraimo-multi-functional-smart-trimmer-with-4-guided-combs-89973390.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-and-poreless-foundation-312-golden-261806751.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-poreless-foundation-30ml-364-deep-bronze-withclay-261806754.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-and-poreless-foundation-30-ml-336-warm-olive-261806755.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-and-poreless-foundation-30-ml-348-golden-261807019.html
health-beauty,https://www.jumia.com.ng/maybelline-fit-me-matte-and-poreless-foundation-30-ml-357-spiced-261807020.html
health-beauty,https://www.jumia.com.ng/maybelline-super-stay-full-coverage-powder-60-caramel-261807032.html
health-beauty,https://www.jumia.com.ng/maybelline-super-stay-full-coverage-powder-32-golden-261807033.html
health-beauty,https://www.jumia.com.ng/maybelline-super-stay-full-coverage-powder-59-gold-caramel-261807034.html
health-beauty,https://www.jumia.com.ng/maybelline-super-stay-full-coverage-powder-76-truffle-261807036.html
health-beauty,https://www.jumia.com.ng/maybelline-super-stay-full-coverage-powder-80-java-261807037.html
health-beauty,https://www.jumia.com.ng/maybelline-superstay-30h-active-wear-foundation-67-warm-coconut-261807042.html
health-beauty,https://www.jumia.com.ng/maybelline-superstay-30h-active-wear-foundation-64-chestnut-261807197.html
health-beauty,https://www.jumia.com.ng/maybelline-colosal-kajal-argan-oil-extra-black-261807200.html
health-beauty,https://www.jumia.com.ng/maybelline-volume-express-colossal-big-shot-mascara-black-261807203.html
