CATEGORY,URLS
mens-fashion,https://www.jumia.com.ng/adidas-sports-performance-socks-light-nosh-3pp-73825518.html
mens-fashion,https://www.jumia.com.ng/throne-of-grace-printed-hoodie-light-grey-danami-mpg1535425.html
mens-fashion,https://www.jumia.com.ng/fashion-5-in-1-plain-unisex-t-shirts-combo-97426488.html
mens-fashion,https://www.jumia.com.ng/danami-4-in-one-button-t-shirts-yellow-blue-blackgrey-winegrey-76300107.html
mens-fashion,https://www.jumia.com.ng/danami-grace-fortified-hooded-short-dressgown-black-111308557.html
mens-fashion,https://www.jumia.com.ng/fashion-unisex-big-frame-blue-light-blocking-anti-eyestrain-glasses-77901364.html
mens-fashion,https://www.jumia.com.ng/button-designed-long-sleeve-t-shirt-yellow-danami-mpg1650892.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-trendy-zipper-comfort-hoodie-varsity-jacket-sweatshirts-white-35333949.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-round-neck-t-shirt-shorts-set-blue-44509083.html
mens-fashion,https://www.jumia.com.ng/danami-button-designed-long-sleeve-t-shirt-lightsky-blue-76295848.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-vintage-patterned-casual-short-sleeve-beach-shirts-46009668.html
mens-fashion,https://www.jumia.com.ng/4-pcs-mens-summer-fashion-cotton-short-sleeve-cartoon-printed-young-men-t-shirt-round-collar-slim-fashion-mpg1481322.html
mens-fashion,https://www.jumia.com.ng/danami-long-sleeve-t-shirt-black-grey-14480172.html
mens-fashion,https://www.jumia.com.ng/danami-plain-hoodie-navy-blue-9514438.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-patterned-vintage-t-shirts-beach-floral-short-sleeve-shirts-polo-58975780.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-oblique-zippers-hoodie-varsity-jacket-sweatshirts-black-35334178.html
mens-fashion,https://www.jumia.com.ng/danami-long-sleeve-t-shirt-royal-blue-grey-18845254.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-elastic-cargo-pants-shorts-nicker-joggers-beach-wear-navyblue-34548533.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-elastic-cargo-pants-shorts-nicker-joggers-beach-wear-black-34548532.html
mens-fashion,https://www.jumia.com.ng/danami-4-in-one-button-t-shirts-yellow-blue-blackgrey-winegrey-76300107.html
mens-fashion,https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeve-round-neck-t-shirt-shorts-set-green-up-and-down-35630056.html
mens-fashion,https://www.jumia.com.ng/alagzi-2024-mens-fashion-casual-shoes-sneakers-white-135562791.html
