CATEGORY,URLS
phones-tablets,https://www.jumia.com.ng/infinix-hot-30i-6.6-hd-44gb-ram-128gb-rom-android-12-black-270049949.html
phones-tablets,https://www.jumia.com.ng/xiaomi-redmi-a2-6.52-2gb-ram32gb-rom-android-12-black-257262601.html
phones-tablets,https://www.jumia.com.ng/infinix-hot-30i-6.56-4gb-ram128gb-rom-android-12-black-229086647.html
phones-tablets,https://www.jumia.com.ng/tecno-spark-10c-6.6-4gb-ram128gb-rom-android-13-black-229839261.html
phones-tablets,https://www.jumia.com.ng/samsung-galaxy-a04s-6.5-4gb-ram64gb-rom-android-12-black-201530971.html
phones-tablets,https://www.jumia.com.ng/xiaomi-redmi-a2-6.71-3gb-ram64gb-rom-android-12-black-252654383.html
phones-tablets,https://www.jumia.com.ng/samsung-galaxy-a04-6.5-4gbram-64gb-rom-android-12-black-235917550.html
phones-tablets,https://www.jumia.com.ng/xiaomi-redmi-12-6.79-4gb-ram128gb-rom-android-13-midnight-black-253237683.html
phones-tablets,https://www.jumia.com.ng/tecno-spark-10-6.6-8gb-ram128gb-rom-android-12-black-230515278.html
phones-tablets,https://www.jumia.com.ng/infinix-zero-30-5g-6.78-256gb-rom12gb-ram-android-13-gold-260175457.html
phones-tablets,https://www.jumia.com.ng/xiaomi-redmi-a1-6.52-2gb-ram32gb-rom-android-12-black-214438620.html
phones-tablets,https://www.jumia.com.ng/tecno-camon-20-8gb-ram256gb-rom-5000mah-black-242221502.html
phones-tablets,https://www.jumia.com.ng/xiaomi-poco-c40-6.71-4gb-ram64gb-rom-android-11-black-195122202.html
phones-tablets,https://www.jumia.com.ng/xiaomi-redmi-9a-6.53-4gb-ram64gb-rom-android-10-gray-170743695.html
phones-tablets,https://www.jumia.com.ng/infinix-smart-7-plus-6.6hd-3gb-ram64gb-rom-android-12-black-235345471.html
phones-tablets,https://www.jumia.com.ng/freeyond-f92gb64gb6.52-smartphone4g5000mahblack-195758056.html
phones-tablets,https://www.jumia.com.ng/freeyond-m54gb128gb4g-6.52-smartphone-5000mahgrey-252928543.html
phones-tablets,https://www.jumia.com.ng/samsung-galaxy-a24-6.5-4gb-ram128gb-rom-android-13-black-239720631.html
phones-tablets,https://www.jumia.com.ng/xiaomi-redmi-a2-6.52-2gb-ram32gb-rom-android-12-black-239704837.html
phones-tablets,https://www.jumia.com.ng/tecno-camon-20-6.67-8gb256gb-android-13-glacierglow-236835354.html
phones-tablets,https://www.jumia.com.ng/tecno-spark-10c-6.6-4gb-ram128gb-rom-android-13-blue-229839341.html
phones-tablets,https://www.jumia.com.ng/infinix-note30-6.66-128gb8gb-ram-android-13-black-245270292.html
phones-tablets,https://www.jumia.com.ng/blackview-tab-6-3gb-ram32gb-rom-dual-sim-truffle-gray-90937272.html
phones-tablets,https://www.jumia.com.ng/umidigi-g1-6.52-2gb-ram32gb-rom-android-12-galaxy-blue-142338733.html
phones-tablets,https://www.jumia.com.ng/samsung-galaxy-a24-6.5-6gb-ram128gb-rom-android-13-black-239720632.html
phones-tablets,https://www.jumia.com.ng/iphone-14-pro-max-6.7-6gb-256gb-rom-ios-16-space-black-apple-mpg2490187.html
phones-tablets,https://www.jumia.com.ng/lenovo-xiaoxin-pad-10.6-inch-2022-wifi-tablet-6gb128gb-android-12-199753788.html
phones-tablets,https://www.jumia.com.ng/blackview-tab6-3gb-ram32gb-dual-sim-macaron-blue-90937471.html
phones-tablets,https://www.jumia.com.ng/generic-power-banks-20000-mah-utra-slim-portable-fast-charger-ace-elec-2-257407613.html
phones-tablets,https://www.jumia.com.ng/ace-elec-f9-wireless-fingerprint-touch-bluetooth-headset-224766926.html
phones-tablets,https://www.jumia.com.ng/generic-s20-wireless-bluetooth-earphone-touch-led-stereo-audio-black-252700580.html
phones-tablets,https://www.jumia.com.ng/ace-elec-power-banks-20000-mah-utra-slim-portable-fast-charger-ace-elec-239880320.html
phones-tablets,https://www.jumia.com.ng/itel-20000mah-dual-output-fast-charging-power-bank-98332547.html
phones-tablets,https://www.jumia.com.ng/oraimo-freepods-lite-true-wireless-earbuds-free-ocd-d62-datacable-260703249.html
phones-tablets,https://www.jumia.com.ng/lenovo-xt88-bt5.3-earbuds-true-wireless-headphones-earphones-133568223.html
phones-tablets,https://www.jumia.com.ng/generic-phone-tripod-moblie-phone-clip-bracket-monopod-stand-178240874.html
phones-tablets,https://www.jumia.com.ng/oraimo-20000mah-power-bank-opb-p208dn-127135392.html
phones-tablets,https://www.jumia.com.ng/samsung-original-samsung-charger-type-c-super-fast-charger-219950572.html
phones-tablets,https://www.jumia.com.ng/oraimo-freepods-4-active-noise-cancellation-earbuds-227147793.html
phones-tablets,https://www.jumia.com.ng/gatwiga-2.4a-faster-charger-with-free-2.4a-fast-cable-black-163984770.html
phones-tablets,https://www.jumia.com.ng/itel-45000mah-max-power-450pf-fast-charge-powerbank-with-lamp-239640755.html
phones-tablets,https://www.jumia.com.ng/oraimo-10000mah-power-bank-opb-p110dn-80176346.html
phones-tablets,https://www.jumia.com.ng/oraimo-riff-true-wireless-earbuds-red-89937320.html
phones-tablets,https://www.jumia.com.ng/oraimo-palm-powerful-bass-ultra-portable-design-ip67-portable-wireless-speake-123759407.html
phones-tablets,https://www.jumia.com.ng/oraimo-rover-rgb-lights-bluetooth-portable-ipx5-wireless-speaker-232620592.html
phones-tablets,https://www.jumia.com.ng/oraimo-watch-2-gps-function-football-heatmap-smart-watch-with-133-training-modes-193721654.html
phones-tablets,https://www.jumia.com.ng/colmi-p28-plus-1.69-tft-full-touch-screen-smart-watch-114906911.html
phones-tablets,https://www.jumia.com.ng/oraimo-tempo-w2-ip67-waterproof-24-training-modes-smart-watch-82164073.html
phones-tablets,https://www.jumia.com.ng/oraimo-x-burna-boy-spacepods-true-wireless-earbuds-257192484.html
phones-tablets,https://www.jumia.com.ng/oraimo-10000mah-power-bank-opb-p118d-113382760.html
phones-tablets,https://www.jumia.com.ng/oraimo-freepods-lite-40-hour-playtime-enc-true-wireless-earbuds-250166444.html
phones-tablets,https://www.jumia.com.ng/oraimo-freepods-3c-enc-calling-noise-cancellation-true-wireless-earbuds-240989039.html
phones-tablets,https://www.jumia.com.ng/generic-tws-wireless-earbuds-bluetooth-earphone-with-mic-headset-252912860.html
phones-tablets,https://www.jumia.com.ng/gatwiga-10w-fast-charger-ga-u02d-229789578.html
phones-tablets,https://www.jumia.com.ng/deco-gear-wireless-earpods-bluetooth-5.2-button-control-earbuds-69133080.html
phones-tablets,https://www.jumia.com.ng/oraimo-riff-2-enc-true-wireless-earbuds-with-app-control-250165939.html
phones-tablets,https://www.jumia.com.ng/generic-wireless-earpods-bluetooth-5.0-earphones-blue-202242558.html
phones-tablets,https://www.jumia.com.ng/generic-wireless-fingerprint-touch-bluetooth-earphone-with-mic-252912733.html
phones-tablets,https://www.jumia.com.ng/generic-wireless-earphones-bluetooth-5.3-slide-cover-71885510.html
phones-tablets,https://www.jumia.com.ng/itel-20000mah-fast-charging-bright-torch-power-bank-free-fast-charger-105122577.html
phones-tablets,https://www.jumia.com.ng/generic-wireless-earpods-bluetooth-5.0-earphones-pink-202242543.html
