CATEGORY,URLS
sporting-goods,https://www.jumia.com.ng/fingerless-gloves-with-hard-knuckle-anti-slip-adjustable-generic-mpg2819133.html
sporting-goods,https://www.jumia.com.ng/lixada-3pcs-non-slip-sports-exercise-resistance-loop-yoga-bands-set-72232224.html
sporting-goods,https://www.jumia.com.ng/generic-3men-compression-shirt-short-sleeve-quick-dry-t-shirt-baselayer-top-115252434.html
sporting-goods,https://www.jumia.com.ng/nike-sport-water-bottle-display-12-pack-81329244.html
sporting-goods,https://www.jumia.com.ng/generic-resistance-loop-band-elastic-exercise-workout-band-8-15lbs-196347826.html
sporting-goods,https://www.jumia.com.ng/lixada-2pcs-resistance-loop-band-for-yoga-strength-training-135273070.html
sporting-goods,https://www.jumia.com.ng/gatwiga-casual-belt-pouch-waist-packs-multifunctional-gadget-bag-outdoor-hiking-cycling-84116759.html
sporting-goods,https://www.jumia.com.ng/gatwiga-varnish-leatherpatent-leather-waist-packs-multifunctional-gadget-bag-hiking-cycling-84246642.html
sporting-goods,https://www.jumia.com.ng/generic-16pcs-resistance-bands-set-150lbs-tube-bands5loop-bands-77516094.html
sporting-goods,https://www.jumia.com.ng/gatwiga-belt-pouch-sport-waist-bag-multifunctional-outdoor-fanny-pack-84014259.html
sporting-goods,https://www.jumia.com.ng/gatwiga-sport-belt-pouch-multifunctional-waist-bag-outdoor-hiking-cycling-84117018.html
sporting-goods,https://www.jumia.com.ng/9.1ft-adjustable-jump-rope-fitness-skipping-rope-soft-foam-generic-mpg1676891.html
sporting-goods,https://www.jumia.com.ng/generic-5set-exercise-bands-resistance-bands-strap-workout-exercise-training-94936442.html
sporting-goods,https://www.jumia.com.ng/generic-multifunctional-pilates-fitness-yoga-stickbar-exercise-kits-104522170.html
sporting-goods,https://www.jumia.com.ng/generic-jump-rope-2.8m-adjustable-anti-tangle-ball-bearing-195748381.html
sporting-goods,https://www.jumia.com.ng/lixada-3pcs-non-slip-sports-exercise-resistance-loop-yoga-bands-set-72232224.html
sporting-goods,https://www.jumia.com.ng/lixada-2pcs-resistance-loop-band-for-yoga-strength-training-135273070.html
sporting-goods,https://www.jumia.com.ng/fingerless-gloves-with-hard-knuckle-anti-slip-adjustable-generic-mpg2819133.html
sporting-goods,https://www.jumia.com.ng/generic-rechargeable-led-camping-lantern-usb-cob-lantern-flashlight-212066748.html
sporting-goods,https://www.jumia.com.ng/9.1ft-adjustable-jump-rope-fitness-skipping-rope-soft-foam-generic-mpg1676891.html
sporting-goods,https://www.jumia.com.ng/generic-adjustable-jump-skipping-rope-cable-for-adults-kids-66324760.html
sporting-goods,https://www.jumia.com.ng/generic-resistance-loop-band-elastic-exercise-workout-band-8-15lbs-196347826.html
sporting-goods,https://www.jumia.com.ng/generic-1-pair-men-women-gym-half-finger-sports-fitness-wrist-glove-220598513.html
sporting-goods,https://www.jumia.com.ng/generic-3-piece-set-sports-exercise-resistance-loop-yoga-bands-set-211487662.html
sporting-goods,https://www.jumia.com.ng/generic-led-flashlight-usb-rechargeable-with-sidelight-3-light-modes-223353030.html
sporting-goods,https://www.jumia.com.ng/generic-tactical-gloves-half-finger-sports-gloves-211477935.html
sporting-goods,https://www.jumia.com.ng/adidas-core-neo-sport-shoes-vs-advantage-clean-cmf-93134085.html
sporting-goods,https://www.jumia.com.ng/danami-water-proof-quality-drawstring-backpackbag-98724739.html
sporting-goods,https://www.jumia.com.ng/adidas-core-neo-sport-shoes-vs-advantage-92831382.html
sporting-goods,https://www.jumia.com.ng/fitbit-ace-2-activity-tracker-for-kids-blueblack-91208177.html
sporting-goods,https://www.jumia.com.ng/danami-quality-sport-gym-drawstring-backpackbag-with-print-128987826.html
