CATEGORY,URLS
womens-fashion,https://www.jumia.com.ng/adidas-core-slides-comfort-flip-flop-110573120.html
womens-fashion,https://www.jumia.com.ng/fashion-black-casual-bag-bussiness-laptop-backpack-3-in-1-backpack-86613996.html
womens-fashion,https://www.jumia.com.ng/danami-women-black-red-contrast-off-white-crop-hoodie-64832122.html
womens-fashion,https://www.jumia.com.ng/fashion-feng-shui-black-obsidian-wealth-bracelet-45822476.html
womens-fashion,https://www.jumia.com.ng/fashion-b008-elegant-female-crystal-bracelet-transparent-95207873.html
womens-fashion,https://www.jumia.com.ng/fashion-n002-ladies-2-in-1-vintage-earrings-necklace-set-gold-like-95187151.html
womens-fashion,https://www.jumia.com.ng/fashion-backpack-casual-laptop-school-bag-65405946.html
womens-fashion,https://www.jumia.com.ng/fashion-unisex-big-frame-blue-light-blocking-anti-eyestrain-glasses-77901366.html
womens-fashion,https://www.jumia.com.ng/fashion-ladies-gowns-women-long-gown-office-dresses-female-birthday-par-dinner-office-classic-clothes-38390379.html
womens-fashion,https://www.jumia.com.ng/fashion-n003-ladies-fashion-natural-necklace-pearls-white-95192922.html
womens-fashion,https://www.jumia.com.ng/fashion-e002-hot-luxury-metal-element-geometric-earrings-gold-like-111948398.html
womens-fashion,https://www.jumia.com.ng/fashion-womens-mesh-breathable-running-shoes-70198364.html
womens-fashion,https://www.jumia.com.ng/fashion-b009-ladies-blue-diamond-like-bracelet-silver-like-111948381.html
womens-fashion,https://www.jumia.com.ng/fashion-3-nose-rings-non-piercing-fake-magnetic-horseshoe-goldsilverblack-98267360.html
womens-fashion,https://www.jumia.com.ng/defacto-boy-casual-knitted-set-yellow-242408800.html
womens-fashion,https://www.jumia.com.ng/generic-clothes-hangerdrying-extendable-double-poles-103862229.html
womens-fashion,https://www.jumia.com.ng/defacto-2-piece-babygirl-casual-regular-fit-long-sleeve-bike-neck-knitted-set-turquoise-242408547.html
